,Date,Open,High,Low,Close,Volume,Company
38,7-Mar-18,93.16,93.94,92.43,93.86,26716127,microsoft
39,8-Mar-18,94.27,95.1,93.76,94.43,25887828,microsoft
40,9-Mar-18,95.29,96.54,95,96.54,36937254,microsoft
41,12-Mar-18,96.5,97.21,96.04,96.77,25916247,microsoft
42,13-Mar-18,97,97.24,93.97,94.41,35387817,microsoft
43,14-Mar-18,95.12,95.41,93.5,93.85,32131981,microsoft
44,15-Mar-18,93.53,94.58,92.83,94.18,27610998,microsoft
45,10-Jan-18,75.76,76.66,75.45,76.51,14777941,yahoo
46,11-Jan-18,76.54,76.78,76.04,76.14,9457918,yahoo
47,12-Jan-18,76.45,76.59,75.68,75.85,4078360,yahoo
48,16-Jan-18,76.44,77.01,73.71,73.92,7014089,yahoo
49,17-Jan-18,74.41,74.6,72.86,74.14,4934217,yahoo
50,18-Jan-18,73.86,74.71,73.72,74.23,5404561,yahoo
51,19-Jan-18,74.39,74.67,73.71,74.36,7203338,yahoo
52,22-Jan-18,74.6,74.6,73.58,74.16,5015449,yahoo
53,23-Jan-18,74.66,76.76,74,76.57,13687701,yahoo
54,24-Jan-18,77.13,78.88,76.78,77.81,6296999,yahoo
55,25-Jan-18,78.45,78.99,77.32,78.58,7840688,yahoo
56,26-Jan-18,79.21,80.45,79,80.3,17423391,yahoo
57,29-Jan-18,80,80.43,78.97,79.34,9719566,yahoo
58,30-Jan-18,77.58,79.27,76.76,78.27,7326518,yahoo
59,31-Jan-18,79,80.56,79,79.88,6639164,yahoo
60,1-Feb-18,76.48,78.36,75.69,76.01,8098044,yahoo
61,2-Feb-18,76.45,76.7,74.17,74.4,8326954,yahoo
62,5-Feb-18,72.9,75.38,71.59,72.51,10552374,yahoo
63,6-Feb-18,70.02,73.67,69.59,73.53,7436486,yahoo
64,7-Feb-18,73.16,74.19,72.1,72.16,3373111,yahoo
65,8-Feb-18,72.55,72.78,69.1,69.15,5742025,yahoo
66,9-Feb-18,70.57,70.77,67.86,70.48,6129819,yahoo
67,12-Feb-18,71.19,71.78,70.27,71.1,2654021,yahoo
68,13-Feb-18,70.72,72.44,70.55,71.31,5535298,yahoo
69,14-Feb-18,70.88,73.73,70.88,73.66,8043466,yahoo
70,15-Feb-18,74.25,74.7,73.23,74.4,4274181,yahoo
71,16-Feb-18,74.46,74.98,73.3,73.51,6982213,yahoo
72,20-Feb-18,72.83,75.26,72.78,74.59,5574265,yahoo
73,21-Feb-18,75.26,76.71,75.04,75.11,7147715,yahoo
74,22-Feb-18,75.83,75.99,75.06,75.52,9369245,yahoo
75,23-Feb-18,76.5,77.78,76.1,77.76,16053072,yahoo
76,26-Feb-18,78.43,78.68,76.72,78.08,18350174,yahoo
77,27-Feb-18,77.86,78,75.77,76.13,12425652,yahoo
