,0,1
55,2018-03-10 17:51:15,RT @NCWITAIC: #BofA Tech Exec @tracykerrins challenges #NCWITAiC18 Award winners to innovate and create better technology. // “We are chang…
56,2018-03-10 16:13:11,RT @NCWITAIC: #BofA Tech Exec @tracykerrins challenges #NCWITAiC18 Award winners to innovate and create better technology. // “We are chang…
57,2018-03-10 15:48:29,RT @NCWITAIC: #BofA Tech Exec @tracykerrins challenges #NCWITAiC18 Award winners to innovate and create better technology. // “We are chang…
58,2018-03-10 15:17:57,RT @NCWITAIC: #BofA Tech Exec @tracykerrins challenges #NCWITAiC18 Award winners to innovate and create better technology. // “We are chang…
59,2018-03-10 14:57:39,RT @NCWITAIC: #BofA Tech Exec @tracykerrins challenges #NCWITAiC18 Award winners to innovate and create better technology. // “We are chang…
60,2018-03-10 13:57:57,RT @NCWITAIC: #BofA Tech Exec @tracykerrins challenges #NCWITAiC18 Award winners to innovate and create better technology. // “We are chang…
61,2018-03-10 13:57:05,#BofA Tech Exec @tracykerrins challenges #NCWITAiC18 Award winners to innovate and create better technology. // “We… https://t.co/SeD0kFuX5P
62,2018-03-10 13:24:24,RT @packet_Wire: #phishing #BofA hxxps://www.duvankart.com/wp-includes/web/auth/verify/BOA/en .@malwrhunterteam @malware_traffic @wifirumha…
63,2018-03-10 03:00:01,Just a gentle reminded that I am the GOAT of bofa and I once #OWNED 33 in one #BOFA https://t.co/XvIBRqoQSn
64,2018-03-09 22:56:19,RT @packet_Wire: #phishing #BofA hxxps://www.duvankart.com/wp-includes/web/auth/verify/BOA/en .@malwrhunterteam @malware_traffic @wifirumha…
65,2018-03-09 22:32:42,RT @packet_Wire: #phishing #BofA hxxps://www.duvankart.com/wp-includes/web/auth/verify/BOA/en .@malwrhunterteam @malware_traffic @wifirumha…
66,2018-03-09 22:26:35,#phishing #BofA hxxps://www.duvankart.com/wp-includes/web/auth/verify/BOA/en .@malwrhunterteam @malware_traffic… https://t.co/f0fnTP8a4j
67,2018-03-09 15:49:38,OMFG! Just saw my #BofA credit card bill and I'm in DEBT AF smh ? Someone please help! #FML #brokeAF #Bills ?
68,2018-03-09 14:49:11,Thanks to @EversourceMA &amp; @BankofAmerica I almost had my service shut off due to non payment. For some reason… https://t.co/a8Y0KVzRTs
69,2018-03-09 11:57:15,RT @StirlingFitnes: Selfie time working #bofa today ? https://t.co/4sAPULTPh9
70,2018-03-09 11:56:48,Selfie time working #bofa today ? https://t.co/4sAPULTPh9
71,2018-03-09 06:33:32,@desusnice Kim's gon let his ass get hype then hit em with the motumbo wag. #bofa
72,2018-03-09 00:55:29,OMFG! Just saw my #BofA credit card bill and I'm in DEBT AF smh ? Someone please help! #FML #brokeAF #Bills ?
73,2018-03-08 20:20:06,"Beer &amp; cheese pairing! #bofa #realale #brewery (at @Allanwater Brewhouse in Bridge of Allan, Stirling)… https://t.co/Kjbhc1o2j1"
74,2018-03-08 17:43:24,New @CeresNews report shows how companies like #BofA are integrating #sustainability into their business strategy… https://t.co/f5VXFb2re8
75,2018-03-08 16:17:26,If this isn't me ???? #Bofa https://t.co/qsnpdC5Aix
